Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Randomized?,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Reduction Blow Up,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,3SUM,Convolution 3SUM,3SUM,#Convolution-3SUM,103,Trivial - subproblem,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",2,"Chan, Timothy M., Virginia Vassilevska Williams, and Yinzhan Xu. ""Fredman’s Trick Meets Dominance Product: Fine-Grained Complexity of Unweighted APSP, 3SUM Counting, and More."" Proceedings of the 55th Annual ACM Symposium on Theory of Computing. 2023.",https://dl.acm.org/doi/abs/10.1145/3564246.3585237,2023,,,,
,3SUM,#Convolution-3SUM,3SUM,Convolution 3SUM,104,,Yes,,,,word RAM,3SUM Hypothesis,,"if: to-time: $O(n^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time $O(n^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Chan, Timothy M., Virginia Vassilevska Williams, and Yinzhan Xu. ""Fredman’s Trick Meets Dominance Product: Fine-Grained Complexity of Unweighted APSP, 3SUM Counting, and More."" Proceedings of the 55th Annual ACM Symposium on Theory of Computing. 2023.",https://dl.acm.org/doi/abs/10.1145/3564246.3585237,2023,,,,
,Graph Triangle Problems,Zero Triangle Detection,Graph Triangle Problems,Edge Triangle Detection,105,,,,,,word RAM,,,"if: to-time: $O(m^{4/3-\epsilon})$ for some $\epsilon > 0$
then: from-time $O(n^{3-\epsilon'})$ for some $\epsilon' > 0$",4/3,"Chan, Timothy M., and Yinzhan Xu. ""Simpler Reductions from Exact Triangle."" 2024 Symposium on Simplicity in Algorithms (SOSA). Society for Industrial and Applied Mathematics, 2024.",https://epubs.siam.org/doi/abs/10.1137/1.9781611977936.4,2024,,previously randomized in other sources; see reference link for past sources,,
,Boolean Satisfiability,CNF-SAT,Local Alignment,Local Alignment,106,,,,,,,SETH,,"if: to-time: $N^{2-\epsilon}$ for some $\epsilon > 0$ on two binary strings of length $N$
then: from-time: $2^{(n-\epsilon')}$ for some $\epsilon' > 0$",2,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,,,
,Boolean Satisfiability,CNF-SAT,Longest Common Subsequence,Longest Common Substring with don't cares,107,,,,,,,SETH,,"if: to-time: $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $2^{(n-\epsilon')}$ for some $\epsilon' > 0$",2,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,,,
,Boolean Satisfiability,CNF-SAT,Local Alignment,Multiple Local Alignment,108,,,,,,,SETH,,"if: to-time: $N^{k-\epsilon}$ for some $\epsilon > 0$ on $k$ binary strings of length $n$ with $k$-wise scoring
then: from-time: $2^{(n-\epsilon')}$ for some $\epsilon' > 0$",k,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Graph Triangle Problems,Negative Triangle Detection,109,Subcubic equivalence,,$O(n^2)$ calls to instances of size $O(n^{1/3})$,,,,APSP Hypothesis,,"if: to-time: $n^{3-\epsilon}$ for some $\epsilon >0$
then: from-time: $n^{3-\epsilon'}$ for some $\epsilon' > 0$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.",https://dl.acm.org/doi/pdf/10.1145/3186893,2018,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Matrix Product,Distance Product,110,Subcubic equivalence,,$O(n^2)$ calls to instances of size $O(n^{1/3})$,,,,APSP Hypothesis,,"if: to-time: $n^{3-\epsilon}$ for some $\epsilon >0$
then: from-time: $n^{3-\epsilon'}$ for some $\epsilon' > 0$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.",https://dl.acm.org/doi/pdf/10.1145/3186893,2018,,,,
,CFG Problems,CFG Parsing,Matrix Product,Combinatorial BMM,111,Combinatorial,,,,,,,,"if: to-time: $O(n^{3-\epsilon})$ for some $\epsilon > 0$ where $n \times n$ matrix
then: from-time: $O(gn^{3-\epsilon})$ where $g$ is the size of the CFG",3,"L. G. Valiant. 1975. General context-free recognition in less than cubic time. J. Comput. Syst. Sci. 10 (1975), 308–315.",https://www.sciencedirect.com/science/article/pii/S0022000075800468,1975,,,,
,Matrix Product,Combinatorial BMM,CFG Problems,CFG Parsing,112,Combinatorial,,,,,,,,"if: to-time: $O(gn^{3-\epsilon})$ for some $\epsilon > 0$ where $g$ is the size of the CFG and $n$ is the size of the string
then: from-time: $O(n^{3-\epsilon/3})$ where $n \times n$ matrix",3,"L. Lee. 2002. Fast context-free grammar parsing requires fast boolean matrix multiplication. J. ACM 49, 1 (2002), 1–15.",https://arxiv.org/abs/cs/0112018,2002,,,,
,Graph Triangle Problems,Negative Triangle Detection,Matrix Product,Matrix Product Verification,113,Strongly subcubic,,,,,,,,"if: to-time: $T(n)$
then: from-time: $O(T(2n))$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.1",2018,,,,
Generic runtimes for two $n \times n$ matrices,Matrix Product,Distance Product,Graph Triangle Problems,Negative Triangle Detection,114,Strongly subcubic,,,,,,,,"if: to-time: $T(n)$ where $T(n)/n$ is decreasing
then: from-time: $O(n^2 \cdot T(n^{1/3})\log W)$ for two $n\times n$ matrices where $W$ is the maxint of $R$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.2",2018,,,,
,Graph Triangle Problems,Negative Triangle Search,Graph Triangle Problems,Negative Triangle Detection,115,Strongly subcubic,,,,,,,,"if: to-time: $T(n)$ where $T(n)/n$ is decreasing
then: from-time: $O(T(n))$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Lemma 4.1",2018,,,,
,Graph Triangle Problems,Negative Triangle Listing,Graph Triangle Problems,Negative Triangle Detection,116,Strongly subcubic,,,,,,,,"if: to-time: $O(n^{3-\epsilon}\log^c M)$ for some $\epsilon > 0$ and where $M$ is the maxint of $R$
then: from-time: $O(n^{3-\epsilon'}\log^c M)$ for some $\epsilon' > 0$ for listing $\Delta = O(n^{3-\delta})$ negative triangles with fixed $\delta > 0$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.3",2018,,,,
"$n \times n$ matrices and triangle problem over $R$
Corollary to generic runtimes",Matrix Product,Distance Product,Graph Triangle Problems,Negative Triangle Detection,117,Strongly subcubic,,,,,,,,"if: to-time: $O(n^3/\log^c n)$ for some constant $c$
then: from-time: $O((\log W) n^3 / \log^c n)$ where $W$ is maxint of $R$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Corollary 4.1",2018,,,,
Multiplying rectangular matrices,Matrix Product,Distance Product,Graph Triangle Problems,Negative Triangle Detection,118,Strongly subcubic,,,,,,,,"if: to-time: $T(n)$
then: from-time: $O(mp\cdot T(n^{1/3}) \log W)$ s.t. $mp \leq n^3$ and $\sqrt{p} \leq m \leq p^2$ and multiplying two matrices of dimensions $m \times n$ and $n \times p$ over $R$ and $W$ is the maxint of $R$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.4",2018,,,,
,Maximum Subarray Problem,Maximum Subarray,Matrix Product,Distance Product,119,,,,,,,,,"if: to-time: $O(n^{3-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O(n^{3-\epsilon})$",3,Hisao Tamaki and Takeshi Tokuyama. 1998. Algorithms for the maximum subarray problem based on matrix multiplication. In Proceedings of the 9th Annual ACM-SIAM Symposium on Discrete Algorithms (SODA’98). 446–452.,https://dl.acm.org/doi/abs/10.5555/314613.314823,1998,,,,
Generic runtime but with $T(n)$ s.t. $T(n)/n^2$ is decreasing,Matrix Product,Distance Product,Graph Triangle Problems,Negative Triangle Detection,120,"Strongly polynomial, probabilistic",,,,,,,,"if: to-time: $T(n)$ where $T(n)/n^2$ is decreasing
then: from-time: $O(n^2 \cdot T(n^{1/3})\log n)$ for two $n\times n$ matrices with high probability",,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.5",2018,,,,
,Minimum Witness,Minimum Witness Finding,Graph Triangle Problems,Negative Triangle Detection,121,,,,,,,,,"if: to-time: $T(n)$ where $n$ is the number of nodes in the graph
then: from-time: $O(T(n))$",,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Lemma 4.4",2018,,,,
,Minimum Witness,All Pairs Minimum Witness (APMW),Graph Triangle Problems,Negative Triangle Detection,122,,,,,,,,,"if: to-time: $T(n)$
then: from-time: $O(T(n^{1/3})n^2)$",,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Lemma 4.5",2018,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",123,Subcubic equivalence,,,,,,,,"if: to-time: $T(n, M)$ where graph has weights in $[0, M]$
then: from-time: $T(n, \Theta(M))$ where digraph has weights in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.1",2018,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",124,Subcubic equivalence,,,,,,APSP Hypothesis,,"if: to-time: $T(n, \Theta(M))$ where digraph has weights in $[-M, M]$
then: from-time: $T(n, M)$ where graph has weights in $[0, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.1",2018,,,,
,Metricity,Metricity,Graph Triangle Problems,Negative Triangle Detection,125,Subcubic equivalence,,,,,,,,"if: to-time: $O(n^2) + T(O(n), O(M))$ where $T(n,M)$ is nondecreasing
then: from-time: $O(n^2) + T(O(n), O(M))$ where the metricity problem is on $[n]$ s.t. all distances are in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.2",2018,,,,
,Graph Triangle Problems,Negative Triangle Detection,Metricity,Metricity,126,Subcubic equivalence,,,,,,,,"if: to-time: $O(n^2) + T(O(n), O(M))$ where the metricity problem is on $[n]$ s.t. all distances are in $[-M, M]$, and $T(n,M)$ is nondecreasing
then: from-time: $O(n^2) + T(O(n), O(M))$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.2",2018,,,,
,Graph Triangle Problems,Negative Triangle Detection,Graph Cycles,Shortest Cycle,127,Subcubic equivalence,,,,,,,,"if: to-time: $T(n,M)$ where there are $n$ nodes and weights in $[1, M]$
then: from-time: $T(n, O(M))$ where there are $n$ nodes and weights in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.3",2018,,"The Theorem states this as a subcubic equivalence, but only proves one direction, stating the other direction ""is already known""",,
,Graph Triangle Problems,Negative Triangle Detection,Maximum Subarray Problem,Maximum Subarray,128,Subcubic equivalence,,,$O(n^2)$,,,,,,3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.4",2018,,,,
,Maximum Subarray Problem,Maximum Subarray,Graph Triangle Problems,Negative Triangle Detection,129,Subcubic equivalence,,,,,,,,,3,Hisao Tamaki and Takeshi Tokuyama. 1998. Algorithms for the maximum subarray problem based on matrix multiplication. In Proceedings of the 9th Annual ACM-SIAM Symposium on Discrete Algorithms (SODA’98). 446–452.,https://dl.acm.org/doi/abs/10.5555/314613.314823,1998,,Not really sure where in Tamaki's paper this is mentioned ,,
,Graph Triangle Problems,Minimum Weight Triangle,"Shortest Path
(Directed graphs)",Second Shortest Simple Path,130,Subcubic equivalence,,,,,,,,"if: to-time: $T(n,W)$ where there are $n$ nodes and integer weights in $[0, W]$
then: from-time: $T(O(n), O(nW))$ for $n$ node graph with integer weights in $[-W, W]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.5",2018,,,,
,Matrix Product,Distance Product,"Shortest Path
(Directed graphs)",Second Shortest Simple Path,131,Subcubic equivalence,,,,,,,,"if: to-time: $T(n,W)$ where there are $n$ nodes and integer weights in $[0, W]$
then: from-time: $O(n^2 T(O(n^{1/3}), O(nW)) \log W)$ for two $n\times n$ matrices with weights in $[-W, W]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.5",2018,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",Second Shortest Simple Path,132,Subcubic equivalence,,,,,,APSP Hypothesis,,"if: to-time: $T(n,W)$ where there are $n$ nodes and integer weights in $[0, W]$
then: from-time: $O(n^2 T(O(n^{1/3}), O(n^2W)) \log Wn)$ for graphs with weights in $[-W, W]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.5",2018,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",Replacement Paths Problem (RPP),133,Subcubic equivalence,,,,,,APSP Hypothesis,,"if: to-time: $T(n) polylog M$ in graphs with integer weights in $[0, M]$
then: from-time: $O(n^2 T(O(n^{1/3})) polylog M)$ in graphs with integer weights in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Corollary 5.1",2018,,,,
,Graph Triangle Problems,Combinatorial Triangle Detection,Independent Set Queries,Independent Set Queries,134,,,,,,,,,"if: to-time: $O(n^2 / \log^c n)$ to answer all subsequent batches of $\log n$ independent set queries from a graph that takes $O(n^k)$ time to preprocess for some $c,k > 0$
then: from-time: $O(n^3 / \log^{c+1} n)$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 6.5",2018,,,,This paper's Theorem 1.5 needs to be in this sheet somewhere
,Matrix Product,Combinatorial BMM,Independent Set Queries,Independent Set Queries,135,,,,,,,,,"if: to-time: $O(n^2 / \log^c n)$ to answer all subsequent batches of $\log n$ independent set queries from a graph that takes $O(n^k)$ time to preprocess for some $c,k > 0$
then: from-time: $O(n^3 / \log^{c+1} n)$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 6.5",2018,,,,
,Graph Triangle Problems,Negative Triangle Detection,Price Query,Price Query,136,,,,,,,,,"if: to-time: $O(n^2 / f(n))$ to answer any subsequent price query after $n$-node edge-weighted graph is preprocessed in $O(^k)$ time for some constant $k > 0$
then: from-time: $O(n^3 / f(n^{1/(2k)})$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 1.5",2018,,,,
,Graph Triangle Problems,Nondecreasing Triangle,Graph Triangle Problems,Triangle in Unweighted Graph,137,Strongly subcubic,,,,,,,,"if: to-time: $T(n)$ for unweighted graph
then: from-time: $O(n^{3/2} \sqrt{T(O(n))})$",\omega,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 7.1",2018,,,,
,Matrix Product,"$(\min, \leq)$ Product",Graph Triangle Problems,Triangle in Unweighted Graph,138,Strongly subcubic,,,,,,,,"if: to-time: $T(n)$ for unweighted graph
then: from-time: $O(n^{3/2} \sqrt{T(O(n))} \log n)$",\omega,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 7.1",2018,,,,
,3SUM,All-Integers 3SUM,3SUM,3SUM,139,Subquadratic equivalence,,,,,,3SUM Hypothesis,,"if: to-time: $O(n^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O(n^{1.5} + n^{2-\epsilon / 2})$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 8.1",2018,,"Derandomizable via deterministic self reductions introduced in [Lincoln et al. 2016, https://doi.org/10.4230/LIPIcs.ICALP.2016.58 ]; see https://arxiv.org/abs/2310.12913 ",,
,3SUM,3SUM,3SUM,All-Integers 3SUM,140,Subquadratic equivalence,,,,,,,,"if: to-time: $T(n)$
then: from-time: $O(T(n))$",2,Trivial,,,,,,
,Graph Metrics,Directed Radius,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",141,Subcubic equivalence,,,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Graph Metrics,Undirected Radius,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",142,Subcubic equivalence,,,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Graph Metrics,Directed Median,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",143,Subcubic equivalence,,,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Graph Metrics,Undirected Median,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",144,Subcubic equivalence,,,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Vertex Centrality,Betweenness Centrality (BC),All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",145,Subcubic equivalence,,,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Vertex Centrality,Betweenness Centrality (BC),All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",146,Subcubic equivalence,,,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Vertex Centrality,Reach Centrality,Graph Metrics,Diameter,147,Subcubic equivalence,,,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Boolean Satisfiability,CNF-SAT,Graph Metrics,Approximate Diameter,148,,,,,,,SETH,,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$ for a $(3/2 - \epsilon)$-approximation
then: from-time: $O*((2-\delta)^n)$ for constant $\delta > 0$",2,"L. Roditty and V. Vassilevska Williams. Fast approximation algorithms for the diameter and radius of sparse graphs. In STOC, pages 515–524, 2013.",https://people.csail.mit.edu/virgi/diam.pdf,2013,,,,
,Graph Triangle Problems,Negative Triangle Detection,Vertex Centrality,Betweenness Centrality (BC),149,,,,,,,,,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge graph
then: from-time: $\tilde{O}T(n,m))$",,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.2",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Graph Metrics,Radius,150,,,,,,,,,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.3",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Graph Metrics,Median,151,,,,,,,,,"if: to-time: $\tilde{O}(T(n,M))$ for $n$-node $m$-edge graph with integer weights in $[-M, M]$
then: from-time: $\tilde{O}T(n,M))$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.4",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Vertex Centrality,All-Nodes Median Parity,152,,,,,,,,,"if: to-time: $\tilde{O}(T(n,M))$ for $n$-node $m$-edge graph with integer weights in $[-M, M]$
then: from-time: $\tilde{O}T(n,M))$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.5",2015,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Vertex Centrality,All-Nodes Median Parity,153,,,,,,,SETH,,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 2.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",Vertex Centrality,All-Nodes Median Parity,154,,,,,,,SETH,,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 2.1",2015,,,,
,Graph Metrics,Diameter,Vertex Centrality,Reach Centrality,155,Subcubic equivalence,,,,,,APSP Hypothesis,,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph
then: from-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 3.1",2015,,,,
